Athlete,Discipline,NOC,Gender,Medal
FOLEY  Hugh Miller,Rowing,USA,Men,Gold
KNECHT  William Joseph,Rowing,USA,Men,Gold
STOWE  William Arthur,Rowing,USA,Men,Gold
ZIMONYI  Robert,Rowing,USA,Men,Gold
AEFFKE  Klaus,Rowing,EUA,Men,Silver
AHRENS  Thomas,Rowing,EUA,Men,Silver
BEHRENS  Klaus,Rowing,EUA,Men,Silver
BITTNER  Klaus,Rowing,EUA,Men,Silver
MEYER  Horst,Rowing,EUA,Men,Silver
PLAGEMANN  Jürgen,Rowing,EUA,Men,Silver
SCHROEDER  Jürgen,Rowing,EUA,Men,Silver
VON GRODDECK  Karl-Heinrich,Rowing,EUA,Men,Silver
WALLBRECHT  Hans-Jürgen,Rowing,EUA,Men,Silver
LYON  Richard Avery,Rowing,USA,Men,Bronze
MITTET  Theodore Peder,Rowing,USA,Men,Bronze
NASH  Theodore Allison,Rowing,USA,Men,Bronze
PICARD  Geoffrey William,Rowing,USA,Men,Bronze
HANSEN  John Orsted,Rowing,DEN,Men,Gold
HASLOV  Björn Borgen,Rowing,DEN,Men,Gold
HELMUDT  Kurt,Rowing,DEN,Men,Gold
PETERSEN  Erik,Rowing,DEN,Men,Gold
BARRY  William Louis,Rowing,GBR,Men,Silver
JAMES  John Jesse,Rowing,GBR,Men,Silver
RUSSELL  John Michael,Rowing,GBR,Men,Silver
WARDELL-YERBURGH  Hugh Arthur,Rowing,GBR,Men,Silver
KLUMPERBEEK  Marius Pieter Louis,Rowing,NED,Men,Bronze
MULLINK  Alex Gerhard,Rowing,NED,Men,Bronze
VAN DE GRAAF  Robert,Rowing,NED,Men,Bronze
VAN DE GRAAFF  Frederik Robbert,Rowing,NED,Men,Bronze
VAN DE GRAAFF  Jan,Rowing,NED,Men,Bronze
BRITTING  Bernhard,Rowing,EUA,Men,Gold
HIRSCHFELDER  Egbert,Rowing,EUA,Men,Gold
NEUSEL  Peter,Rowing,EUA,Men,Gold
OELKE  Jürgen,Rowing,EUA,Men,Gold
WERNER  Joachim,Rowing,EUA,Men,Gold
BOSATTA  Renato,Rowing,ITA,Men,Silver
DE PEDRINA  Franco,Rowing,ITA,Men,Silver
GALANTE  Giuseppe,Rowing,ITA,Men,Silver
SPINOLA  Giovanni,Rowing,ITA,Men,Silver
TRIVINI  Emilio,Rowing,ITA,Men,Silver
BOS  Jan Justus,Rowing,NED,Men,Bronze
HARTSUIKER  Frederik Klaas Jan,Rowing,NED,Men,Bronze
ROUWE  Herman Jan,Rowing,NED,Men,Bronze
FERRY  Edward Payson,Rowing,USA,Men,Gold
FINDLAY  Conrad Francis,Rowing,USA,Men,Gold
MITCHELL  Henry Kent II,Rowing,USA,Men,Gold
DEROUY  Jean-Claude,Rowing,FRA,Men,Silver
MOREL  Georges,Rowing,FRA,Men,Silver
MOREL  Jacques,Rowing,FRA,Men,Silver
KOTTMANN  Gottfried,Rowing,SUI,Men,Bronze
IVANOV  Vyacheslav,Rowing,URS,Men,Gold
HILL  Achim,Rowing,EUA,Men,Silver
BATCHELDER  Joseph Laws,Sailing,USA,Men,Bronze
MCNAMARA  John Joseph Jr.,Sailing,USA,Men,Bronze
SCULLY  Francis Paul Jr.,Sailing,USA,Men,Bronze
NORTHAM  William Herbert,Sailing,AUS,Men,Gold
O'DONNELL  Peter Joseph,Sailing,AUS,Men,Gold
SARGEANT  James Fred Robert,Sailing,AUS,Men,Gold
KARLSSON  Arne,Sailing,SWE,Men,Silver
STORK  Sture,Sailing,SWE,Men,Silver
THÖRN  Lars,Sailing,SWE,Men,Silver
DEAVER  Richard Burke,Sailing,USA,Men,Bronze
NORTH  Lowell Orton,Sailing,USA,Men,Bronze
ROGERS  Charles Sinclair,Sailing,USA,Men,Bronze
BERNTSEN  Ole Valdemar Henrik,Sailing,DEN,Men,Gold
POULSEN  Ole,Sailing,DEN,Men,Gold
VON BÜLOW  Christian Robert,Sailing,DEN,Men,Gold
AHRENDT  Peter,Sailing,EUA,Men,Silver
LORENZ  Wilfred,Sailing,EUA,Men,Silver
MENSE  Ulrich,Sailing,EUA,Men,Silver
BENTSEN  William Bruce,Sailing,USA,Men,Bronze
MELGES  Harry Clemens,Sailing,USA,Men,Bronze
PEDERSEN  Helmer Orlaf L.,Sailing,NZL,Men,Gold
WELLS  Earle Leonard,Sailing,NZL,Men,Gold
MORGAN  Anthony William Crawfort,Sailing,GBR,Men,Silver
MUSTO  Franklyn Keith,Sailing,GBR,Men,Silver
WIND  Henning Norgaard,Sailing,DEN,Men,Bronze
KUHWEIDE  Wilhelm,Sailing,EUA,Men,Gold
BARRETT  Peter Jones,Sailing,USA,Men,Silver
PETTERSSON  Pelle Helmer,Sailing,SWE,Men,Bronze
SUNDSTRÖM  Holger,Sailing,SWE,Men,Bronze
COOKE  Cecil George,Sailing,BAH,Men,Gold
KNOWLES  Durward Randolph,Sailing,BAH,Men,Gold
STEARNS  Richard Irving,Sailing,USA,Men,Silver
WILLIAMS  Lynn Alfred III,Sailing,USA,Men,Silver
NACOVSKY  Lubomir,Shooting,TCH,Men,Bronze
LINNOSVUO  Pentti Tapio Akseli,Shooting,FIN,Men,Gold
TRIPSA  Ion,Shooting,ROU,Men,Silver
GUNNARSSON  Martine Ingemar,Shooting,USA,Men,Bronze
ANDERSON  Gary Lee,Shooting,USA,Men,Gold
KVELIASHVILI  Shota,Shooting,URS,Men,Silver
YOSHIKAWA  Yoshihisa,Shooting,JPN,Men,Bronze
MARKKANEN  Väinö Johannes,Shooting,FIN,Men,Gold
GREEN  Franklin Crawford,Shooting,USA,Men,Silver
HAMMERL  Laszlo,Shooting,HUN,Men,Bronze
WIGGER  Lones Wesley Jr.,Shooting,USA,Men,Gold
CHRISTOV  Velitchko,Shooting,BUL,Men,Silver
POOL  Thomas Gayle,Shooting,USA,Men,Bronze
HAMMERL  Laszlo,Shooting,HUN,Men,Gold
WIGGER  Lones Wesley Jr.,Shooting,USA,Men,Silver
MORRIS  William Clifton,Shooting,USA,Men,Bronze
MATTARELLI  Ennio,Shooting,ITA,Men,Gold
SENICHEV  Pavel,Shooting,URS,Men,Silver
DEMACHI  Yutaka,Volleyball,JPN,Men,Bronze
HIGUCHI  Tokihiko,Volleyball,JPN,Men,Bronze
IKEDA  Nachiro,Volleyball,JPN,Men,Bronze
KOSEDO  Toshiaki,Volleyball,JPN,Men,Bronze
KOYAMA  Tsutomu,Volleyball,JPN,Men,Bronze
MINAMI  Masayuki,Volleyball,JPN,Men,Bronze
MORIYAMA  Teruhisa,Volleyball,JPN,Men,Bronze
NAKAMURA  Yuzo,Volleyball,JPN,Men,Bronze
NEKODA  Katsutoshi,Volleyball,JPN,Men,Bronze
SATO  Yasutaka,Volleyball,JPN,Men,Bronze
SUGAHARA  Sadatoshi,Volleyball,JPN,Men,Bronze
TOKUTOMI  Takeshi,Volleyball,JPN,Men,Bronze
BUGAENKOV  Ivan,Volleyball,URS,Men,Gold
BUROBIN  Nikolai,Volleyball,URS,Men,Gold
CHESNOKOV  Yuri,Volleyball,URS,Men,Gold
KALACHIKHIN  Valeri,Volleyball,URS,Men,Gold
KATCHARAVA  Vazha,Volleyball,URS,Men,Gold
KOVALENKO  Vitali,Volleyball,URS,Men,Gold
LYUGAILO  Stanislav,Volleyball,URS,Men,Gold
MONDZOLEVSKY  Georgi,Volleyball,URS,Men,Gold
POYARKOV  Yuri,Volleyball,URS,Men,Gold
SIBIRYAKOV  Eduard,Volleyball,URS,Men,Gold
VENGEROVSKY  Yuri,Volleyball,URS,Men,Gold
VOSKOBOINIKOV  Dmitri,Volleyball,URS,Men,Gold
CUDA  Milan,Volleyball,TCH,Men,Silver
GOLIAN  Bohumil,Volleyball,TCH,Men,Silver
HUMHAL  Zdenek,Volleyball,TCH,Men,Silver
KOP  Petr,Volleyball,TCH,Men,Silver
LABUDA  Josef,Volleyball,TCH,Men,Silver
MUSIL  Josef,Volleyball,TCH,Men,Silver
PAULUS  Karel,Volleyball,TCH,Men,Silver
PERUSIC  Boris,Volleyball,TCH,Men,Silver
SCHENK  Pavel,Volleyball,TCH,Men,Silver
SMIDL  Vaclav,Volleyball,TCH,Men,Silver
SORM  Josef,Volleyball,TCH,Men,Silver
TOMAN  Ladislav,Volleyball,TCH,Men,Silver
BUSZ  Hanna Krystyna,Volleyball,POL,Women,Bronze
CZAJKOWSKA  Krystyna,Volleyball,POL,Women,Bronze
GOLIMOWSKA  Marja,Volleyball,POL,Women,Bronze
HERMELA-NIEMCZYK  Barbara Wieslawa,Volleyball,POL,Women,Bronze
JAKUBOWSKA  Krystyna,Volleyball,POL,Women,Bronze
KORDACZUK  Danuta,Volleyball,POL,Women,Bronze
KRUP  Krystyna,Volleyball,POL,Women,Bronze
LEDWIG  Jozefa,Volleyball,POL,Women,Bronze
MARKO-KSIAZEK  Jadwiga,Volleyball,POL,Women,Bronze
RUTKOWSKA  Jadwiga,Volleyball,POL,Women,Bronze
SLIWKA  Marja,Volleyball,POL,Women,Bronze
SZCZESNIEWSKA  Zofia,Volleyball,POL,Women,Bronze
FUJIMOTO  Yuko,Volleyball,JPN,Women,Gold
HANDA  Yuriko,Volleyball,JPN,Women,Gold
ISOBE  Sata,Volleyball,JPN,Women,Gold
KASAI  Masae,Volleyball,JPN,Women,Gold
KONDO  Maseko,Volleyball,JPN,Women,Gold
MATSUMURA  Katsumi,Volleyball,JPN,Women,Gold
MATSUMURA  Yoshiko,Volleyball,JPN,Women,Gold
MIYAMOTO  Emiko,Volleyball,JPN,Women,Gold
SASAKI  Setsuko,Volleyball,JPN,Women,Gold
SHIBUKI  Ayano,Volleyball,JPN,Women,Gold
SHINOZAKI  Yoko,Volleyball,JPN,Women,Gold
TANIDA  Kinuko,Volleyball,JPN,Women,Gold
ABRAMOVA  Nelli,Volleyball,URS,Women,Silver
BILTAUER  Astra,Volleyball,URS,Women,Silver
BULDAKOVA  Lyudmila,Volleyball,URS,Women,Silver
GUREEVA  Lyudmila,Volleyball,URS,Women,Silver
KAMENEK-VINOGRADOVA  Valentina,Volleyball,URS,Women,Silver
KATUSHEVA  Marita,Volleyball,URS,Women,Silver
LUKANINA  Ninel,Volleyball,URS,Women,Silver
MISHAK  Valentina,Volleyball,URS,Women,Silver
ROSHCHINA  Tatyana,Volleyball,URS,Women,Silver
RYSKAL  Inna,Volleyball,URS,Women,Silver
RYZHOVA  Antonina,Volleyball,URS,Women,Silver
TIKHONINA  Tamara,Volleyball,URS,Women,Silver
ISHINOSEKI  Shiro,Weightlifting,JPN,Men,Bronze
VAKHONIN  Aleksei,Weightlifting,URS,Men,Gold
FÖLDI  Imre,Weightlifting,HUN,Men,Silver
SCHEMANSKY  Norbert,Weightlifting,USA,Men,Bronze
ZHABOTINSKY  Leonid,Weightlifting,URS,Men,Gold
VLASOV  Yuri,Weightlifting,URS,Men,Silver
NOWAK  Mieczyslaw,Weightlifting,POL,Men,Bronze
MIYAKE  Yoshinobu,Weightlifting,JPN,Men,Gold
BERGER  Isaac,Weightlifting,USA,Men,Silver
ZIELINSKI  Marian,Weightlifting,POL,Men,Bronze
BASZANOWSKI  Waldemar,Weightlifting,POL,Men,Gold
KAPLUNOV  Vladimir,Weightlifting,URS,Men,Silver
OHUCHI  Masashi,Weightlifting,JPN,Men,Bronze
ZDRAZILA  Hans,Weightlifting,TCH,Men,Gold
KURENTSOV  Viktor,Weightlifting,URS,Men,Silver
VERES  Gyözö,Weightlifting,HUN,Men,Bronze
PLYUKFELDER  Rudolf,Weightlifting,URS,Men,Gold
TOTH  Geza,Weightlifting,HUN,Men,Silver
PALINSKI  Ireneusz,Weightlifting,POL,Men,Bronze
GOLOVANOV  Vladimir,Weightlifting,URS,Men,Gold
MARTIN  Louis George,Weightlifting,GBR,Men,Silver
HAYDARI  Said Ali Akbar,Wrestling Free.,IRI,Men,Bronze
YOSHIDA  Yoshikatsu,Wrestling Free.,JPN,Men,Gold
CHANG  Chang-Sun,Wrestling Free.,KOR,Men,Silver
KAPLAN  Hamit,Wrestling Free.,TUR,Men,Bronze
IVANITSKY  Aleksandr,Wrestling Free.,URS,Men,Gold
DJIBER  Liutvi Akhmedov,Wrestling Free.,BUL,Men,Silver
IBRAGIMOV  Aidyn Ali Ogly,Wrestling Free.,URS,Men,Bronze
UETAKE  Yojiro,Wrestling Free.,JPN,Men,Gold
AKBAS  Hüseyin,Wrestling Free.,TUR,Men,Silver
KHOKHASHVILI  Nodar,Wrestling Free.,URS,Men,Bronze
WATANABE  Osamu,Wrestling Free.,JPN,Men,Gold
KOLEV  Stancho Ivanov,Wrestling Free.,BUL,Men,Silver
HORIUCHI  Iwao,Wrestling Free.,JPN,Men,Bronze
VALTCHEV  Enyu Dimov,Wrestling Free.,BUL,Men,Gold
ROST  Klaus-Jürgen,Wrestling Free.,EUA,Men,Silver
SANATKARAN  Mohammad Ali,Wrestling Free.,IRI,Men,Bronze
OGAN  Ismail,Wrestling Free.,TUR,Men,Gold
SAGARADZE  Guliko,Wrestling Free.,URS,Men,Silver
BRAND  Daniel Oliver,Wrestling Free.,USA,Men,Bronze
GARDJEV  Prodan Stoyanov,Wrestling Free.,BUL,Men,Gold
GÜNGÖR  Hasan,Wrestling Free.,TUR,Men,Silver
CHERIFOV  Said Mustafov,Wrestling Free.,BUL,Men,Bronze
MEDVED  Aleksandr,Wrestling Free.,URS,Men,Gold
AYIK  Ahmet,Wrestling Free.,TUR,Men,Silver
PIRVULESCU  Dumitru,Wrestling Gre-R,ROU,Men,Bronze
HANAHARA  Tsutomu,Wrestling Gre-R,JPN,Men,Gold
KERESOV  Angel Stoyanov,Wrestling Gre-R,BUL,Men,Silver
DIETRICH  Wilfried,Wrestling Gre-R,EUA,Men,Bronze
KOZMA  Istvan,Wrestling Gre-R,HUN,Men,Gold
ROSHCHIN  Anatoli,Wrestling Gre-R,URS,Men,Silver
CERNEA  Ion,Wrestling Gre-R,ROU,Men,Bronze
ICHIGUCHI  Masamitsu,Wrestling Gre-R,JPN,Men,Gold
TROSTYANSKY  Vladlen,Wrestling Gre-R,URS,Men,Silver
MARTINOVIC  Branko,Wrestling Gre-R,YUG,Men,Bronze
POLYAK  Imre,Wrestling Gre-R,HUN,Men,Gold
RURUA  Roman,Wrestling Gre-R,URS,Men,Silver
GVANTELADZE  David,Wrestling Gre-R,URS,Men,Bronze
AYVAZ  Kazim,Wrestling Gre-R,TUR,Men,Gold
BULARCA  Valeriu,Wrestling Gre-R,ROU,Men,Silver
NYSTRÖM  Bertil,Wrestling Gre-R,SWE,Men,Bronze
KOLESOV  Anatoli,Wrestling Gre-R,URS,Men,Gold
TODOROV  Kiril Petkov,Wrestling Gre-R,BUL,Men,Silver
METZ  Lothar,Wrestling Gre-R,EUA,Men,Bronze
SIMIC  Branislav,Wrestling Gre-R,YUG,Men,Gold
KORMANIK  Jiri,Wrestling Gre-R,TCH,Men,Silver
KIEHL  Heinz,Wrestling Gre-R,EUA,Men,Bronze
RADEV  Boyan Aleksandrov,Wrestling Gre-R,BUL,Men,Gold
SVENSSON  Per Oscar,Wrestling Gre-R,SWE,Men,Silver
YOUNG  Edwin Frank,Diving,USA,Men,Bronze
DIBIASI  Klaus,Diving,ITA,Men,Gold
GAXIOLA ROBLES  Alvaro,Diving,MEX,Men,Silver
PETERSON  Ann Stewart,Diving,USA,Women,Bronze
DUCHKOVA  Milena,Diving,TCH,Women,Gold
KUZNETSOVA-LOBANOVA  Natalya,Diving,URS,Women,Silver
HENRY  James Edward,Diving,USA,Men,Bronze
WRIGHTSON  Bernard Charles,Diving,USA,Men,Gold
DIBIASI  Klaus,Diving,ITA,Men,Silver
O'SULLIVAN  Keala,Diving,USA,Women,Bronze
GOSSICK  Susanne,Diving,USA,Women,Gold
FEDOSOVA-POGOZHEVA  Tamara,Diving,URS,Women,Silver
MILLS  Ronald P.,Swimming,USA,Men,Bronze
MATTHES  Roland,Swimming,GDR,Men,Gold
HICKCOX  Charles Buchanan,Swimming,USA,Men,Silver
SWAGERTY  Jane Ellen,Swimming,USA,Women,Bronze
HALL  Kaye Marie,Swimming,USA,Women,Gold
TANNER  Elaine,Swimming,CAN,Women,Silver
PANKIN  Nikolai,Swimming,URS,Men,Bronze
MCKENZIE  Donald Ward Jr.,Swimming,USA,Men,Gold
KOSINSKY  Vladimir,Swimming,URS,Men,Silver
WICHMAN  Sharon Lynn,Swimming,USA,Women,Bronze
BJEDOV  Djurdjica,Swimming,YUG,Women,Gold
PROZUMENSCHIKOVA-STEPANOVA  Galina,Swimming,URS,Women,Silver
WALES  Ross Elliott,Swimming,USA,Men,Bronze
RUSSELL  Douglas Albert,Swimming,USA,Men,Gold
SPITZ  Mark,Swimming,USA,Men,Silver
SHIELDS  Susanne Marie,Swimming,USA,Women,Bronze
MCCLEMENTS  Lynette,Swimming,AUS,Women,Gold
DANIEL  Eleanor Suzanne,Swimming,USA,Women,Silver
SPITZ  Mark,Swimming,USA,Men,Bronze
WENDEN  Michael Vincent,Swimming,AUS,Men,Gold
WALSH  Kenneth Marshall,Swimming,USA,Men,Silver
GUSTAVSON  Linda Lee,Swimming,USA,Women,Bronze
HENNE  Jane Margo,Swimming,USA,Women,Gold
PEDERSEN  Susan Jane,Swimming,USA,Women,Silver
BROUGH  Gregory,Swimming,AUS,Men,Bronze
BURTON  Michael Jay,Swimming,USA,Men,Gold
KINSELLA  John Pitann,Swimming,USA,Men,Silver
HORSLEY  Jack S.,Swimming,USA,Men,Bronze
MATTHES  Roland,Swimming,GDR,Men,Gold
IVEY  Mitchell,Swimming,USA,Men,Silver
HALL  Kaye Marie,Swimming,USA,Women,Bronze
WATSON  Lillian Debra,Swimming,USA,Women,Gold
TANNER  Elaine,Swimming,CAN,Women,Silver
JOB  Brian Gregory,Swimming,USA,Men,Bronze
MUNOZ  Felipe,Swimming,MEX,Men,Gold
KOSINSKY  Vladimir,Swimming,URS,Men,Silver
PROZUMENSCHIKOVA-STEPANOVA  Galina,Swimming,URS,Women,Bronze
WICHMAN  Sharon Lynn,Swimming,USA,Women,Gold
BJEDOV  Djurdjica,Swimming,YUG,Women,Silver
FERRIS  John Edward,Swimming,USA,Men,Bronze
ROBIE  Carl Joseph III,Swimming,USA,Men,Gold
WOODROFFE  Martyn John,Swimming,GBR,Men,Silver
DANIEL  Eleanor Suzanne,Swimming,USA,Women,Bronze
KOK  Aagje Ada,Swimming,NED,Women,Gold
LINDNER  Helga,Swimming,GDR,Women,Silver
NELSON  John Mauer,Swimming,USA,Men,Bronze
WENDEN  Michael Vincent,Swimming,AUS,Men,Gold
SCHOLLANDER  Donald Arthur,Swimming,USA,Men,Silver
BARKMAN  Jane Louise,Swimming,USA,Women,Bronze
MEYER  Deborah,Swimming,USA,Women,Gold
HENNE  Jane Margo,Swimming,USA,Women,Silver
FERRIS  John Edward,Swimming,USA,Men,Bronze
HICKCOX  Charles Buchanan,Swimming,USA,Men,Gold
BUCKINGHAM  Gregory F.,Swimming,USA,Men,Silver
HENNE  Jane Margo,Swimming,USA,Women,Bronze
KOLB  Claudia Anne,Swimming,USA,Women,Gold
PEDERSEN  Susan Jane,Swimming,USA,Women,Silver
MOSCONI  Alain,Swimming,FRA,Men,Bronze
BURTON  Michael Jay,Swimming,USA,Men,Gold
HUTTON  Ralph,Swimming,CAN,Men,Silver
MORAS  Karen Lynne,Swimming,AUS,Women,Bronze
MEYER  Deborah,Swimming,USA,Women,Gold
GUSTAVSON  Linda Lee,Swimming,USA,Women,Silver
HOLTHAUS  Michael,Swimming,FRG,Men,Bronze
HICKCOX  Charles Buchanan,Swimming,USA,Men,Gold
HALL  Gary Wayne,Swimming,USA,Men,Silver
STEINBACH  Sabine,Swimming,GDR,Women,Bronze
KOLB  Claudia Anne,Swimming,USA,Women,Gold
VIDALI  Lynn Marie,Swimming,USA,Women,Silver
CUSACK  Robert,Swimming,AUS,Men,Bronze
ROGERS  Gregory,Swimming,AUS,Men,Bronze
WENDEN  Michael Vincent,Swimming,AUS,Men,Bronze
WINDLE  Robert George,Swimming,AUS,Men,Bronze
RERYCH  Stephen Karl,Swimming,USA,Men,Gold
SPITZ  Mark,Swimming,USA,Men,Gold
WALSH  Kenneth Marshall,Swimming,USA,Men,Gold
ZORN  Zachary,Swimming,USA,Men,Gold
BELITS-GEIMAN  Semyon,Swimming,URS,Men,Silver
ILYICHEV  Leonid,Swimming,URS,Men,Silver
KULIKOV  Georgi,Swimming,URS,Men,Silver
MAZANOV  Viktor,Swimming,URS,Men,Silver
CORSON-WHITNEY  Marilyn,Swimming,CAN,Women,Bronze
COUGHLAN  Angela,Swimming,CAN,Women,Bronze
LAY  Marion Beverly,Swimming,CAN,Women,Bronze
TANNER  Elaine,Swimming,CAN,Women,Bronze
BARKMAN  Jane Louise,Swimming,USA,Women,Gold
GUSTAVSON  Linda Lee,Swimming,USA,Women,Gold
HENNE  Jane Margo,Swimming,USA,Women,Gold
PEDERSEN  Susan Jane,Swimming,USA,Women,Gold
KRAUSE  Roswitha,Swimming,GDR,Women,Silver
PERTHES  Gabriele,Swimming,GDR,Women,Silver
SCHMUCK  Uta,Swimming,GDR,Women,Silver
WETZKO  Gabriele,Swimming,GDR,Women,Silver
GROMAK  Yuri,Swimming,URS,Men,Bronze
ILYICHEV  Leonid,Swimming,URS,Men,Bronze
KOSINSKY  Vladimir,Swimming,URS,Men,Bronze
NEMSHILOV  Vladimir,Swimming,URS,Men,Bronze
HICKCOX  Charles Buchanan,Swimming,USA,Men,Gold
MCKENZIE  Donald Ward Jr.,Swimming,USA,Men,Gold
RUSSELL  Douglas Albert,Swimming,USA,Men,Gold
WALSH  Kenneth Marshall,Swimming,USA,Men,Gold
GREGOR  Horst-Günther,Swimming,GDR,Men,Silver
HENNINGER  Egon,Swimming,GDR,Men,Silver
MATTHES  Roland,Swimming,GDR,Men,Silver
WIEGAND  Frank,Swimming,GDR,Men,Silver
FROMMATER  Uta,Swimming,FRG,Women,Bronze
HUSTEDE-NAGEL  Heike,Swimming,FRG,Women,Bronze
KRAUS  Angelika,Swimming,FRG,Women,Bronze
REINECK  Heidemarie,Swimming,FRG,Women,Bronze
BALL  Catherine,Swimming,USA,Women,Gold
DANIEL  Eleanor Suzanne,Swimming,USA,Women,Gold
HALL  Kaye Marie,Swimming,USA,Women,Gold
PEDERSEN  Susan Jane,Swimming,USA,Women,Gold
MCCLEMENTS  Lynette,Swimming,AUS,Women,Silver
PLAYFAIR  Judith,Swimming,AUS,Women,Silver
STEINBECK  Janet,Swimming,AUS,Women,Silver
WATSON  Lynette,Swimming,AUS,Women,Silver
BELITS-GEIMAN  Semyon,Swimming,URS,Men,Bronze
BURE  Vladimir,Swimming,URS,Men,Bronze
ILYICHEV  Leonid,Swimming,URS,Men,Bronze
KULIKOV  Georgi,Swimming,URS,Men,Bronze
NELSON  John Mauer,Swimming,USA,Men,Gold
RERYCH  Stephen Karl,Swimming,USA,Men,Gold
SCHOLLANDER  Donald Arthur,Swimming,USA,Men,Gold
SPITZ  Mark,Swimming,USA,Men,Gold
ROGERS  Gregory,Swimming,AUS,Men,Silver
WENDEN  Michael Vincent,Swimming,AUS,Men,Silver
WHITE  Graham Rose,Swimming,AUS,Men,Silver
WINDLE  Robert George,Swimming,AUS,Men,Silver
RAMIREZ  Maria Teresa,Swimming,MEX,Women,Bronze
MEYER  Deborah,Swimming,USA,Women,Gold
KRUSE  Pamela Jean,Swimming,USA,Women,Silver
BODNAR  Andras,Water polo,HUN,Men,Bronze
DÖMÖTÖR  Zoltan,Water polo,HUN,Men,Bronze
FELKAI  Laszlo,Water polo,HUN,Men,Bronze
KONRAD  Ferenc,Water polo,HUN,Men,Bronze
KONRAD  Janos,Water polo,HUN,Men,Bronze
MAYER  Mihaly,Water polo,HUN,Men,Bronze
MOLNAR  Endre,Water polo,HUN,Men,Bronze
POCSIK  Denes,Water polo,HUN,Men,Bronze
SAROSI  Laszlo,Water polo,HUN,Men,Bronze
STEINMETZ  Janos,Water polo,HUN,Men,Bronze
SZIVOS  Istvan,Water polo,HUN,Men,Bronze
BONACIC  Ozren,Water polo,YUG,Men,Gold
DABOVIC  Dejan,Water polo,YUG,Men,Gold
HEBEL  Zdravko,Water polo,YUG,Men,Gold
JANKOVIC  Zoran,Water polo,YUG,Men,Gold
LOPATINI  Ronald,Water polo,YUG,Men,Gold
MAROVIC  Uros,Water polo,YUG,Men,Gold
PERISIC  Djordje,Water polo,YUG,Men,Gold
POLJAK  Miroslav,Water polo,YUG,Men,Gold
SANDIC  Mirko,Water polo,YUG,Men,Gold
STIPANIC  Karlo,Water polo,YUG,Men,Gold
TRUMBIC  Ivo,Water polo,YUG,Men,Gold
BARKALOV  Aleksei,Water polo,URS,Men,Silver
BOVIN  Oleg,Water polo,URS,Men,Silver
CHIKVANAYA  Givi,Water polo,URS,Men,Silver
DOLGUSHIN  Aleksandr,Water polo,URS,Men,Silver
GRIGOROVSKY  Yuri,Water polo,URS,Men,Silver
GRISHIN  Boris,Water polo,URS,Men,Silver
GULYAEV  Vadim,Water polo,URS,Men,Silver
OSIPOV  Leonid,Water polo,URS,Men,Silver
SEMENOV  Vladimir,Water polo,URS,Men,Silver
SHIDLOVSKY  Aleksandr,Water polo,URS,Men,Silver
SKOK  Vyacheslav,Water polo,URS,Men,Silver
GAMMOUDI  Mohamed,Athletics,TUN,Men,Bronze
TEMU  Nabiba Naftali,Athletics,KEN,Men,Gold
WOLDE  Mamo,Athletics,ETH,Men,Silver
GREENE  Charles Edward,Athletics,USA,Men,Bronze
HINES  James Ray,Athletics,USA,Men,Gold
MILLER  Lennox,Athletics,JAM,Men,Silver
SZEWINSKA  Irena,Athletics,POL,Women,Bronze
TYUS  Wyomia,Athletics,USA,Women,Gold
FERRELL  Barbara Ann,Athletics,USA,Women,Silver
OTTOZ  Eddy,Athletics,ITA,Men,Bronze
DAVENPORT  Willie,Athletics,USA,Men,Gold
HALL  Ervin,Athletics,USA,Men,Silver
TÜMMLER  Bodo,Athletics,FRG,Men,Bronze
KEINO  Kipchoge,Athletics,KEN,Men,Gold
RYUN  James Ronald,Athletics,USA,Men,Silver
CARLOS  John Wesley,Athletics,USA,Men,Bronze
SMITH  Thomas C.,Athletics,USA,Men,Gold
NORMAN  Peter George,Athletics,AUS,Men,Silver
LAMY-FRANK  Jennifer,Athletics,AUS,Women,Bronze
SZEWINSKA  Irena,Athletics,POL,Women,Gold
BOYLE  Raelene Ann,Athletics,AUS,Women,Silver
SMAGA  Nikolai,Athletics,URS,Men,Bronze
GOLUBNICHY  Vladimir,Athletics,URS,Men,Gold
PEDRAZA ZUNIGA  Jose,Athletics,MEX,Men,Silver
YOUNG  George L.,Athletics,USA,Men,Bronze
BIWOTT  Amos Kipwabok,Athletics,KEN,Men,Gold
KOGO  Benjamin,Athletics,KEN,Men,Silver
FREEMAN  Ronald John III,Athletics,USA,Men,Bronze
EVANS  Lee Edward,Athletics,USA,Men,Gold
JAMES  George Lawrence,Athletics,USA,Men,Silver
PECHENKINA  Natalya,Athletics,URS,Women,Bronze
BESSON  Colette,Athletics,FRA,Women,Gold
BOARD  Lillian Barbara,Athletics,GBR,Women,Silver
SHERWOOD  John,Athletics,GBR,Men,Bronze
HEMERY  David Peter,Athletics,GBR,Men,Gold
HENNIGE  Gerhard,Athletics,FRG,Men,Silver
BAMBUCK  Roger,Athletics,FRA,Men,Bronze
DELECOUR  Jocelyn,Athletics,FRA,Men,Bronze
FENOUIL  Gerard,Athletics,FRA,Men,Bronze
PIQUEMAL  Claude,Athletics,FRA,Men,Bronze
GREENE  Charles Edward,Athletics,USA,Men,Gold
HINES  James Ray,Athletics,USA,Men,Gold
PENDER  Melvin Jr.,Athletics,USA,Men,Gold
SMITH  Ronald Ray,Athletics,USA,Men,Gold
